"Rank","player","Hall_Rating","Avg_BPM","Position","Minutes","Games","Seasons","Teams","player_id"
3066.5,"Kevin Seraphin",0,-6.88237292703454,"C",5513,346,6,2,"serapke01"
3066.5,"Kevin Stacom",0,-5.88329727873729,"SG",4766,373,6,3,"stacoke01"
3066.5,"Kevin Thompson",0,-5.49682066191303,"C",58,14,1,1,"thompke01"
3066.5,"Kevinn Pinkney",0,-1.63096205336809,"PF",100,6,1,1,"pinknke01"
3066.5,"Khalid El-Amin",0,-3.57781521143976,"PG",936,50,1,1,"elamikh01"
3066.5,"Kim Anderson",0,-8.22026279081178,"SF",224,21,1,1,"anderki01"
3066.5,"Kim English",0,-3.9771858430541,"SG",407,41,1,1,"engliki01"
3066.5,"Kirk Penney",0,-16.635223996367,"SG",30,6,2,2,"penneki01"
3066.5,"Kirk Snyder",0,-4.07329669907642,"SF",3549,214,4,4,"snydeki01"
3066.5,"Kiwane Garris",0,-11.069648972289,"SG",248,31,2,2,"garriki01"
3066.5,"Kleggie Hermsen",0,-24.2230898651799,"C-F",62,10,1,2,"hermskl01"
3066.5,"Kosta Perovic",0,-4.36324643939198,"C",38,7,1,1,"perovko01"
3066.5,"Kostas Papanikolaou",0,-8.25363187915601,"SF",888,61,2,2,"papanko01"
3066.5,"Kris Joseph",0,-11.1519333583129,"SF",54,10,1,2,"josepkr01"
3066.5,"Kurk Lee",0,-5.98036378470825,"SF",265,48,1,1,"leeku01"
3066.5,"Kwame Brown",0,-2.49409392517067,"C",13855,625,12,7,"brownkw01"
3066.5,"Kyle Anderson",0,-1.39203819956889,"SF",488,46,2,1,"anderky01"
3066.5,"Kyle Singler",0,-3.17566291903817,"SF",6549,257,4,2,"singlky01"
3066.5,"Lamar Green",0,-3.82686989008883,"PF",7373,417,6,3,"greenla01"
3066.5,"Lamar Patterson",0,-3.0569216558095,"SG",136,9,1,1,"pattela01"
3066.5,"LaMark Baker",0,-55.3466888891406,"PG",2,1,1,1,"bakerla01"
3066.5,"Lamont Strothers",0,-10.4041516975257,"SG",155,13,2,2,"strotla01"
3066.5,"Lanard Copeland",0,-14.1861571543676,"SG",167,37,2,2,"copella01"
3066.5,"Lancaster Gordon",0,-6.78480823806519,"SG",2581,201,4,1,"gordola01"
3066.5,"Lance Allred",0,-14.9614205336866,"C",10,3,1,1,"allrela01"
3066.5,"Lance Thomas",0,-4.55756657405808,"SF",3070,182,5,4,"thomala01"
3066.5,"Lari Ketner",0,-12.7795660931618,"PF",139,25,2,3,"ketnela01"
3066.5,"Laron Profit",0,-6.42330521206951,"SF",1542,138,4,2,"profila01"
3066.5,"Larry Bergh",0,-3.66576251650182,"PF",255,20,1,1,"berghla01"
3066.5,"Larry Bunce",0,-1.33977181433459,"C",3070,129,2,4,"buncela01"
3066.5,"Larry Comley",0,-12.0836336291071,"G",89,12,1,1,"comlela01"
3066.5,"Larry Conley",0,-9.60257688012868,"SG",18,1,1,1,"conlela01"
3066.5,"Larry Drew",0,-9.96963342242611,"PG",219,12,1,1,"drewla02"
3066.5,"Larry Finch",0,-4.1771858430541,"SG",3042,128,2,2,"finchla01"
3066.5,"Larry Fogle",0,-13.4032076449472,"SG",14,2,1,1,"foglela01"
3066.5,"Larry Friend",0,-6.14681926548021,"SG",569,44,1,1,"frienla01"
3066.5,"Larry Hennessy",0,-19.5952203684258,"SG",828,77,2,2,"hennela01"
3066.5,"Larry Johnson",0,-5.98546093124523,"SG",38,4,1,1,"johnsla01"
3066.5,"Larry Mikan",0,-7.91900265760763,"SF",536,53,1,1,"mikanla01"
3066.5,"Larry Miller",0,-3.04152638899675,"SG",15094,495,7,5,"millela01"
3066.5,"Larry Moffett",0,-5.62278026435444,"SF",110,20,1,1,"moffela01"
3066.5,"Larry Moore",0,-9.82409980414461,"F",78,12,1,1,"moorela01"
3066.5,"Larry Nance Jr.",0,-3.92844457982543,"PF",143,8,1,1,"nancela02"
3066.5,"Larry Robinson",0,-12.629740508054,"SG",1202,89,7,8,"robinla01"
3066.5,"Larry Sykes",0,-25.2868440669199,"PF",2,1,1,1,"sykesla01"
3066.5,"LaRue Martin",0,-4.49158137403435,"C",3795,271,4,1,"martila01"
3066.5,"Lavor Postell",0,-7.30167691926229,"SG",446,61,3,1,"postela01"
3066.5,"Lawrence Boston",0,-3.03096205336809,"PF",125,13,1,1,"bostola01"
3066.5,"Lawrence Moten",0,-6.56033012007609,"SG",1814,119,3,2,"motenla01"
3066.5,"Lazar Hayward",0,-4.84793332298321,"SF",609,77,3,2,"haywala01"
3066.5,"Leary Lentz",0,-3.06358225994252,"SF",3706,151,2,2,"lentzle01"
3066.5,"Ledell Eackles",0,-2.69118405675977,"SG",8917,441,7,3,"eacklle01"
3066.5,"Lee Johnson",0,-11.9123645862651,"PF",90,12,1,2,"johnsle01"
3066.5,"Lee Mayberry",0,-4.30783408195723,"PG",10337,496,7,2,"maybele01"
3066.5,"Lee Nailon",0,-2.76374441094826,"SF",5980,315,6,7,"nailole01"
3066.5,"Leland Mitchell",0,-5.80639815602372,"SG",1148,85,1,1,"mitchle01"
3066.5,"Lennie Rosenbluth",0,-6.58444063122367,"SF",589,86,2,1,"rosenle01"
3066.5,"Leon Douglas",0,-2.6942855587432,"C",10486,474,7,2,"douglle01"
3066.5,"Leon Smith",0,-3.10877866124067,"C",104,15,2,2,"smithle01"
3066.5,"Leonard Gray",0,-2.61497087667327,"PF",6373,241,3,2,"grayle01"
3066.5,"Leonard Taylor",0,-10.891156346442,"PF",37,10,1,1,"taylole01"
