"Rank","player","Hall_Rating","Reg_Season_Rank","Reg_Season_Hall_Rating","Playoff_Rank","Playoff_Hall_Rating","Est_BPM","Best_Season","Position","MPG","Minutes","Games","Seasons","Rookie_Yr","Final_Yr","Primary_Team","Teams","player_id"
385,"Isaiah Thomas",3.04394090803283,331,3.04394090803283,2593,0,1.20715419312325,1.72686174584601,"PG",28.3766666666667,8513,300,5,2012,2016,"BOS",3,"thomais02"
386,"Scott Wedman",3.02929685696308,394,2.18884623251109,344,0.840450624451982,-1.04826261949234,0.980098414016417,"SF",28.1412714429869,27888,991,13,1975,1987,"BOS",4,"wedmasc01"
387,"Raef LaFrentz",3.02812320955659,350,2.77805637115788,570,0.250066838398715,0.411626581608938,0.767419489384506,"C",25.8628762541806,15466,598,10,1999,2008,"BOS",4,"lafrera01"
388,"Jermaine O'Neal",3.02370134903837,356,2.6951179442422,509,0.328583404796166,-0.54902925473483,1.53388694149722,"PF",27.0225631768953,29941,1108,18,1997,2014,"IND",7,"onealje01"
389,"Brian Grant",3.02178343163525,416,1.84858259590743,278,1.17320083572782,-0.49375011290186,1.04492359279159,"PF",28.2223587223587,22973,814,12,1995,2006,"MIA",5,"grantbr01"
390,"Roger Brown",2.99379630043596,2563,0,156,2.99379630043596,-1.19307597703759,1.44825154201661,"SF",35.641958041958,25484,715,8,1968,1975,"INA",3,"brownro01"
391,"Gordon Hayward",2.98068164003351,335,2.98068164003351,2593,0,0.488558929478722,2.10772608610926,"SF",29.7994722955145,11294,379,6,2011,2016,"UTA",1,"haywago01"
392,"Robin Lopez",2.96955296734453,355,2.72981254560815,581,0.239740421736379,0.14945691314097,1.76300119067987,"C",21.5788423153693,10811,501,8,2009,2016,"PHO",4,"lopezro01"
393,"Paul Silas",2.95891466071266,388,2.25435805835707,375,0.704556602355584,-1.29174618930237,1.13200357410532,"PF",27.9520112914608,39608,1417,16,1965,1980,"BOS",6,"silaspa01"
394,"Larry Kenon",2.94465937259539,340,2.8855146332674,854,0.0591447393279937,-0.957877891726273,1.35466934561557,"PF",32.7404202719407,26487,809,10,1974,1983,"SAS",6,"kenonla01"
395,"Jack Nichols",2.9334614183405,2563,0,160,2.9334614183405,-2.51791916085926,2.91270862464629,"PF",27.5083333333333,9903,360,6,1953,1958,"BOS",2,"nichoja01"
396,"Shawn Bradley",2.90683028194848,362,2.64870388848454,564,0.258126393463937,-0.853853002148546,1.23851132102119,"C",22.9577142857143,20088,875,12,1994,2005,"DAL",3,"bradlsh01"
397,"Jeff Mullins",2.89979713593005,447,1.59751916896464,254,1.30227796696541,-0.655419830658399,1.14729092587565,"SG",30.2468996617813,26829,887,12,1965,1976,"GSW",3,"mullije01"
398,"Kenneth Faried",2.8968192107774,339,2.8968192107774,2593,0,1.29490995305651,1.0059453406702,"PF",26.9183006535948,8237,306,5,2012,2016,"DEN",1,"farieke01"
399,"Dee Brown",2.84130182008812,358,2.66252057395503,638,0.178781246133088,-0.466845231343988,0.936575201951811,"PG",27.5821596244131,17625,639,12,1991,2002,"BOS",3,"brownde01"
400,"Corey Maggette",2.8124868194022,354,2.73150162295594,788,0.0809851964462561,-0.319502210955849,1.06647411804265,"SF",28.1883194278903,23650,839,14,2000,2013,"LAC",6,"maggeco01"
401,"Matt Barnes",2.81136986150481,410,1.93889847491221,330,0.872471386592596,-0.35352071667352,0.971473625775959,"SF",23.230504587156,20257,872,13,2004,2016,"LAC",9,"barnema02"
402,"Ray Felix",2.81006876715365,346,2.81006876715365,2593,0,-0.564412548375214,0.980029120546942,"C",23.7377777777778,16023,675,9,1954,1962,"NYK",4,"felixra01"
403,"Wally Szczerbiak",2.80612238043004,353,2.75482651443443,884,0.0512958659956036,-0.0436864168894941,0.94997109613,"SF",30.4936170212766,21498,705,10,2000,2009,"MIN",4,"szczewa02"
404,"J.R. Smith",2.79594525598474,436,1.67375841985994,288,1.1221868361248,-0.733541905853859,0.638850342589537,"SG",26.6302021403092,22396,841,12,2005,2016,"DEN",5,"smithjr01"
405,"DeMarre Carroll",2.77333160792373,403,2.02011394438807,363,0.753217663535656,0.532761441005315,1.07480573606757,"SF",22.9352112676056,8142,355,7,2010,2016,"ATL",6,"carrode01"
406,"Vin Baker",2.76744469036402,363,2.64230781812319,708,0.125136872240824,-0.943743533091632,1.18217427844394,"C",32.4981595092025,26486,815,13,1994,2006,"SEA",6,"bakervi01"
407,"Ronnie Brewer",2.73649677784762,386,2.27899936397485,449,0.457497413872765,0.21073302313885,1.44097910306884,"SG",22.5755919854281,12394,549,8,2007,2014,"UTA",6,"brewero02"
408,"Danny Schayes",2.72187234803732,415,1.87819089785739,343,0.84368145017993,-1.27393796258309,1.1925965438288,"C",19.3794531897266,23391,1207,18,1982,1999,"DEN",7,"schayda01"
409,"Roy Tarpley",2.71082167697846,503,1.11608640370173,226,1.59473527327673,0.16983436626905,1.59473527327673,"PF",27.2434210526316,8282,304,6,1987,1995,"DAL",1,"tarplro01"
410,"Antoine Walker",2.70054604354541,374,2.44299274714483,565,0.257553296400585,-0.81420553153611,1.41206861008831,"PF",35.5193312434692,33992,957,12,1997,2008,"BOS",5,"walkean02"
411,"Elden Campbell",2.68677195832639,378,2.4024911553579,552,0.28428080296849,-0.889466640042606,1.01108655741585,"PF",24.3860869565217,28044,1150,15,1991,2005,"LAL",6,"campbel01"
412,"Paul Seymour",2.65843632374039,493,1.19176907607689,238,1.4666672476635,-1.25704076816777,1.29038568681496,"SG",30.5028037383178,16319,535,9,1952,1960,"SYR",1,"seymopa01"
413,"Reggie Williams",2.6570718609387,375,2.43273695510963,590,0.224334905829071,-0.631478705526707,0.972606651475757,"SF",26.5666131621188,16551,623,10,1988,1997,"DEN",6,"willire01"
414,"Jamal Mashburn",2.63942704222611,402,2.02256321536397,397,0.616863826862144,-0.461027757017381,0.849575509982682,"SF",37.1206636500754,24611,663,11,1994,2004,"MIA",4,"mashbja01"
415,"Mark West",2.63634479288647,423,1.7828037146158,338,0.853541078270679,-1.40145674304719,0.873079980235022,"C",18.5383966244726,21968,1185,17,1984,2000,"PHO",7,"westma01"
416,"Antawn Jamison",2.63114372669831,376,2.41725975668925,601,0.213883970009058,-0.238041655635804,0.670957015912007,"PF",34.7599645704163,39244,1129,16,1999,2014,"WAS",6,"jamisan01"
417,"Mike Dunleavy",2.61137657230985,414,1.89210455415955,369,0.7192720181503,-0.298688465676178,1.10381777020525,"SF",28.5678879310345,26511,928,13,2003,2015,"IND",4,"dunlemi02"
418,"Andre Drummond",2.60702736325953,365,2.60702736325953,2593,0,1.44679213753742,1.32271904727423,"C",28.9872881355932,6841,236,4,2013,2016,"DET",1,"drumman01"
419,"Jerry Stackhouse",2.60250078169288,367,2.60250078169288,2593,0,-1.17393346695549,2.3042225544364,"SG",30.9894736842105,32384,1045,18,1996,2013,"DAL",8,"stackje01"
420,"Craig Ehlo",2.57930547286284,397,2.11950914942975,447,0.45979632343309,-0.3094327999717,0.926965795100174,"SG",24.145416227608,22914,949,14,1984,1997,"CLE",4,"ehlocr01"
