"Rank","player","Hall_Rating","Reg_Season_Rank","Reg_Season_Hall_Rating","Playoff_Rank","Playoff_Hall_Rating","Equiv_BPM","Best_Season","Position","MPG","Minutes","Games","Seasons","Rookie_Yr","Final_Yr","Primary_Team","Teams","player_id"
1636,"Kirk Haston",0.0647874102037167,2775,0,1322,0.0647874102037167,-12.717776783785,0.0647874102037167,"PF",4.75862068965517,138,29,2,2002,2003,"CHH",2,"hastoki01"
1637,"Bob Quick",0.0643256063430361,1305,0.0643256063430361,2764,0,-0.98305264127635,0.0643256063430361,"SF",13.4305555555556,1934,144,4,1969,1972,"BAL",3,"quickbo01"
1638,"Linton Johnson",0.0635411951945665,2775,0,1324,0.0635411951945665,-2.5706810929314,0.0635411951945665,"PF",13.7727272727273,2121,154,6,2004,2009,"CHI",7,"johnsli01"
1639,"Zach LaVine",0.0634549243547476,1306,0.0634549243547476,2764,0,-3.83378695208544,0.0634549243547476,"PG",24.6111111111111,2215,90,2,2015,2016,"MIN",1,"lavinza01"
1640,"Jiri Welsch",0.0627981089192804,2775,0,1329,0.0627981089192804,-2.17964553512598,0.0627981089192804,"SF",18.4901960784314,4715,255,4,2003,2006,"BOS",4,"welscji01"
1641,"Michael Smith",0.0622084220778999,2775,0,1330,0.0622084220778999,-3.90337775952627,0.0622084220778999,"PF",9.18367346938776,1350,147,3,1990,1995,"BOS",2,"smithmi01"
1642,"Connie Norman",0.0620827918091753,2775,0,1331,0.0620827918091753,-4.22106841891663,0.0620827918091753,"SG",12.14,1214,100,3,1975,1979,"PHI",2,"normaco01"
1643,"Andre Turner",0.0620415187282679,2775,0,1332,0.0620415187282679,-3.41864382032121,0.0620415187282679,"PG",15.2359550561798,2712,178,6,1987,1992,"PHI",7,"turnean01"
1644,"Don Boven",0.0617695837870209,1309,0.0617695837870209,2764,0,-2.11588574206785,0.0617695837870209,"F-G",24.5815602836879,3466,141,2,1952,1953,"FTW",3,"bovendo01"
1645,"Bostjan Nachbar",0.0614300676475666,2775,0,1334,0.0614300676475666,-1.99577667575407,0.0308819776638864,"SF",17.7641791044776,5951,335,6,2003,2008,"NJN",4,"nachbbo01"
1646,"Red Stroud",0.0612765055091646,1312,0.0612765055091646,2764,0,4.47604903979261,0.0612765055091646,"G",4.71428571428571,33,7,1,1968,1968,"NOB",1,"stroure01"
1647,"Rex Walters",0.0612083257564888,2775,0,1335,0.0612083257564888,-2.98470770170908,0.0612083257564888,"SG",13.6165191740413,4616,339,7,1994,2000,"MIA",3,"waltere01"
1648,"Ronald Murray",0.0610413225230085,2775,0,1336,0.0610413225230085,-2.80261433982518,0.0610413225230085,"SG",22.7669172932331,12112,532,8,2003,2010,"SEA",8,"murraro01"
1649,"Keyon Dooling",0.0609852895631789,2775,0,1337,0.0609852895631789,-2.50372559669351,0.0609852895631789,"PG",18.8836915297092,14937,791,13,2001,2013,"ORL",7,"doolike01"
1650,"Daniel Orton",0.0608405283212027,1467,0.0112747972705611,1368,0.0495657310506416,-1.81913577950609,0.0495657310506416,"C",10.0181818181818,551,55,3,2012,2014,"ORL",3,"ortonda01"
1651,"Marko Milic",0.0601002386160935,2775,0,1338,0.0601002386160935,-3.25302560172107,0.0601002386160935,"SF",4.78260869565217,220,46,2,1998,1999,"PHO",1,"milicma01"
1652,"Jordan Farmar",0.0597137843549561,1313,0.0597137843549561,2764,0,-1.70293168358529,0.0597137843549561,"PG",18.871198568873,10549,559,8,2007,2015,"LAL",3,"farmajo01"
1653,"Dave Minor",0.0594046209831329,1314,0.0594046209831329,2764,0,-1.6180683999643,0.0594046209831329,"G-F",27.3103448275862,3168,116,2,1952,1953,"BLB",2,"minorda01"
1654,"J.J. Anderson",0.0589010197121961,2775,0,1340,0.0589010197121961,-1.97014926763582,0.0589010197121961,"SF",12.2407407407407,1983,162,3,1983,1985,"UTA",2,"anderjj01"
1655,"Rodney Hood",0.05887503353762,1316,0.05887503353762,2764,0,-0.566965522034027,0.05887503353762,"SG",22.9016393442623,1397,61,2,2015,2016,"UTA",1,"hoodro01"
1656,"Derrick Brown",0.0587623439099737,1541,0.000515383551912169,1342,0.0582469603580615,-1.65221464468515,0.0582469603580615,"SF",14.7687861271676,2555,173,3,2010,2012,"CHA",2,"brownde04"
1657,"Loren Woods",0.0583754990571887,2775,0,1341,0.0583754990571887,-3.02579190502888,0.0583754990571887,"C",11.1095890410959,2433,219,6,2002,2008,"MIN",4,"woodslo01"
1658,"Tom Payne",0.0580531709395479,2775,0,1343,0.0580531709395479,-3.45478721800396,0.0580531709395479,"C",7.73333333333333,232,30,1,1972,1972,"ATL",1,"payneto01"
1659,"Joe Ingles",0.0575516512715983,1318,0.0575516512715983,2764,0,-1.22472150475705,0.0575516512715983,"SF",20.1098901098901,1830,91,2,2015,2016,"UTA",1,"inglejo01"
1660,"Mike Lynn",0.0575208709632182,2775,0,1346,0.0575208709632182,-6.8036168480848,0.0575208709632182,"SF",8.34615384615385,434,52,2,1970,1971,"LAL",2,"lynnmi01"
1661,"Bill Wennington",0.0574204169468729,2775,0,1347,0.0574204169468729,-2.52293281079968,0.0574204169468729,"C",13.053164556962,10312,790,13,1986,2000,"CHI",3,"wennibi01"
1662,"Gary Leonard",0.0573377671273443,1339,0.0473924309811861,1483,0.00994533614615823,-5.42158941580325,0.0473924309811861,"C",4.66666666666667,154,33,3,1990,1992,"ATL",2,"leonaga01"
1663,"Delaney Rudd",0.0573282363725363,2775,0,1348,0.0573282363725363,-4.93092678747201,0.0573282363725363,"PG",9.67300380228137,2544,263,4,1990,1993,"UTA",2,"ruddde01"
1664,"Kevin Pritchard",0.0565235336901814,1319,0.0565235336901814,2764,0,-5.20595010443463,0.0565235336901814,"PG",11.968085106383,1125,94,4,1991,1996,"BOS",5,"pritcke01"
1665,"Evan Eschmeyer",0.0557679831006557,2775,0,1349,0.0557679831006557,-1.38230896895224,0.0557679831006557,"C",13.527950310559,2178,161,4,2000,2003,"DAL",2,"eschmev01"
1666,"Ben Coleman",0.0555079999733505,2775,0,1351,0.0555079999733505,-2.77252310436196,0.0555079999733505,"PF",15.804347826087,3635,230,5,1987,1994,"PHI",4,"colembe01"
1667,"Reggie Harding",0.055351829876324,1322,0.055351829876324,2764,0,-1.51092064555495,0.055351829876324,"C",27.6913043478261,6369,230,4,1964,1968,"DET",3,"hardire01"
1668,"George Adams",0.0542681406102469,2775,0,1354,0.0542681406102469,-1.27526613699594,0.0542681406102469,"SF",18.2455357142857,4087,224,3,1973,1975,"SDA",1,"adamsge01"
