"Rank","player","Hall_Rating","Avg_BPM","Best_Season","Position","MPG","Minutes","Games","Seasons","Rookie_Yr","Final_Yr","Teams","player_id"
76,"Sidney Moncrief",41.552633144251,3.56851894997836,6.57287411843793,"SG",30.6697674418605,26376,860,11,1980,1991,2,"moncrsi01"
77,"Connie Hawkins",41.0933843811694,3.59747120192922,11.3222782664145,"SF",36.4684129429892,23668,649,9,1968,1976,5,"hawkico01"
78,"Robert Parish",40.9936363105265,1.89074474405054,4.45625521461748,"C",28.9030640668524,51881,1795,21,1977,1997,4,"parisro01"
79,"Jerry Lucas",40.6105269533202,2.93107800091702,5.93881418992577,"PF",38.291897891232,34501,901,11,1964,1974,3,"lucasje01"
80,"Elvin Hayes",40.4416868209622,1.69850566670623,4.70860534286042,"PF",38.7133666904932,54160,1399,16,1969,1984,5,"hayesel01"
81,"Dikembe Mutombo",39.2382097140755,2.379137286937,3.90409526141107,"C",30.769468003084,39908,1297,18,1992,2009,6,"mutomdi01"
82,"George Gervin",39.0425102106749,2.2352393443393,4.70137232292797,"SG",33.9064685314685,38789,1144,14,1973,1986,4,"gervige01"
83,"James Harden",39.0009249831715,4.73001355505917,10.0885652705448,"SG",32.6951672862454,17590,538,7,2010,2016,2,"hardeja01"
84,"Marques Johnson",38.6018701797355,3.32742724100614,5.77208130645673,"SF",34.6389261744966,25806,745,11,1978,1990,3,"johnsma01"
85,"Ed Macauley",38.5207062430097,4.31956042174121,8.16090930203857,"C",35.3629764065336,19485,551,8,1952,1959,2,"macaued01"
86,"Steve Nash",37.8292476801212,2.10093726584385,4.83800329576359,"PG",31.6813762154076,42358,1337,18,1997,2014,3,"nashst01"
87,"Terry Porter",37.7968675801822,2.10792812686479,6.43864396978126,"PG",28.1065808297568,39293,1398,17,1986,2002,4,"portete01"
88,"Kevin Johnson",37.6283950305796,2.88887459564599,5.91141794532667,"PG",34.4523809523809,28940,840,12,1988,2000,2,"johnske02"
89,"Bob Cousy",37.4861873214105,2.31513980569009,3.31812080802648,"PG",35.6392931392931,34285,962,13,1952,1970,2,"cousybo01"
90,"Willis Reed",37.3717691267929,2.94066178951198,7.34738267540232,"C",35.3214285714286,25714,728,10,1965,1974,1,"reedwi01"
91,"Stephen Curry",36.9795819882312,4.69256516265332,10.1019090420999,"PG",35.4649681528662,16704,471,7,2010,2016,1,"curryst01"
92,"Rasheed Wallace",36.7820468420095,2.13848407479004,4.53270839756438,"PF",32.7223950233281,42081,1286,16,1996,2013,6,"wallara01"
93,"Grant Hill",36.4728420415461,2.47817171723987,9.32264394176903,"SF",33.8103286384977,36008,1065,18,1995,2013,4,"hillgr01"
