"Rank","player","Hall_Rating","Reg_Season_Rank","Reg_Season_Hall_Rating","Playoff_Rank","Playoff_Hall_Rating","Equiv_BPM","Best_Season","Position","MPG","Minutes","Games","Seasons","Rookie_Yr","Final_Yr","Primary_Team","Teams","player_id"
523,"Rodney Rogers",5.42738816608461,601,2.61390333308102,404,2.81348483300359,-0.0919405724967813,1.74192607070554,"SF",24.8839662447257,23590,948,12,1994,2005,"LAC",7,"rogerro01"
524,"B.J. Armstrong",5.34694116991483,687,1.88097179759663,357,3.46596937231821,-0.354572510938361,1.4016032767086,"PG",23.6549295774648,20154,852,11,1990,2000,"CHI",4,"armstbj01"
525,"Arthur Becker",5.34467913289631,476,4.17024415601375,639,1.17443497688256,0.975579256396205,3.36844614799306,"PF",24.9863325740319,10969,439,6,1968,1973,"DNR",5,"beckear01"
526,"M.L. Carr",5.34419226907898,420,5.21745308690323,1191,0.126739182175744,0.505644655411312,2.93856700019166,"SF",23.3489932885906,17395,745,10,1976,1985,"BOS",3,"carrml01"
527,"John Lucas",5.28106759937319,569,2.86436353167399,450,2.4167040676992,-0.0420146234502113,1.9085546861639,"PG",27.431654676259,26691,973,14,1977,1990,"HOU",6,"lucasjo01"
528,"Greg Smith",5.27220844997615,786,1.2086488414026,319,4.06355960857355,-0.473332674597021,3.81232136037929,"SF",23.8175182481752,13052,548,8,1969,1976,"MIL",3,"smithgr01"
529,"Chris Mills",5.22572427542163,528,3.32341262312307,508,1.90231165229856,0.331494072384315,1.8071651178211,"SF",30.3339011925043,17806,587,10,1994,2003,"CLE",3,"millsch01"
530,"Jerome Williams",5.18136576614206,462,4.33202062304048,722,0.84934514310157,0.968451878198286,1.50088394722937,"PF",21.671568627451,13263,612,9,1997,2005,"DET",4,"willije01"
531,"Chuck Person",5.17344458000847,717,1.66359360590215,354,3.50985097410631,-0.485269011117114,1.52157539334933,"SF",30.4557344064386,30273,994,13,1987,2000,"IND",5,"persoch01"
532,"Les Hunter",5.17055851252202,557,2.99310296921625,476,2.17745554330576,0.176014862003136,2.35251349778427,"PF",25.3692307692308,13192,520,7,1965,1973,"KEN",6,"huntele01"
533,"Jay Humphries",5.16354773680874,484,4.05707934078764,656,1.1064683960211,-0.0848415228986229,1.73975694198929,"PG",29.1507840772014,24166,829,11,1985,1995,"MIL",4,"humphja01"
534,"Eric Bledsoe",5.1542920192704,498,3.84364354264136,602,1.31064847662904,0.83507090875426,1.4089215529936,"PG",25.0854700854701,8805,351,6,2011,2016,"LAC",2,"bledser01"
535,"Donald Sidle",5.15085439502326,504,3.67073870035118,572,1.48011569467208,1.34100602782565,2.58191942654371,"PF",26.9940119760479,9016,334,4,1969,1972,"INA",4,"sidledo01"
536,"Dick Garmaker",5.1482539892101,609,2.53456160445161,427,2.61369238475849,0.36324308480748,1.90545991133288,"SG",29.0113122171946,12823,442,6,1956,1961,"MNL",2,"garmadi01"
537,"Chandler Parsons",5.1395131698177,439,4.91380626175471,1063,0.225706908062995,1.71069972829011,1.92638870557709,"SF",33.887417218543,10234,302,5,2012,2016,"HOU",2,"parsoch01"
538,"DeMarre Carroll",5.1216770713631,545,3.12624021055062,494,1.99543686081248,1.10606839107039,1.77110705770727,"SF",22.9352112676056,8142,355,7,2010,2016,"ATL",6,"carrode01"
