Rank,player,Hall_Rating,Reg_Season_Rank,Reg_Season_Hall_Rating,Playoff_Rank,Playoff_Hall_Rating,Equiv_BPM,Best_Season,Position,MPG,Minutes,Games,Seasons,Rookie_Yr,Final_Yr,Primary_Team,Teams,player_id
111,Bill Laimbeer,35.35390329,116,22.7123515,97,12.64155178,2.195602116,4.448634236,C,31.91447925,37691,1181,14,1981,1994,DET,2,laimbbi01
112,Hersey Hawkins,34.72823011,111,23.21554781,111,11.5126823,2.278892202,4.44253108,SG,32.69914853,34563,1057,13,1989,2001,PHI,4,hawkihe01
113,Gus Williams,34.59173955,176,16.72090215,63,17.87083739,1.895537686,5.898002404,PG,31.23376623,28860,924,11,1976,1987,SEA,4,willigu01
114,Hal Greer,34.14455308,117,22.63588481,112,11.50866827,1.756382987,4.329609809,SG,35.77429984,43430,1214,15,1959,1973,PHI,2,greerha01
115,Bob McAdoo,33.62329639,76,30.49705226,336,3.126244123,2.074345687,8.208741349,C,32.81289641,31041,946,14,1973,1986,BUF,7,mcadobo01
116,Clyde Lovellette,33.1379259,112,23.08944653,124,10.04847936,3.012677129,4.561722214,C,26.8007762,20717,773,11,1954,1964,MNL,4,lovelcl01
117,Mookie Blaylock,32.95683438,82,29.02356066,296,3.933273719,2.06498324,7.686786797,PG,35.19300106,33187,943,13,1990,2002,ATL,3,blaylmo01
118,Frank Ramsey,32.20822522,276,9.660995703,51,22.54722952,2.067052038,5.936081049,SG,24.5852982,17726,721,9,1955,1964,BOS,1,ramsefr01
119,Chris Mullin,32.15598116,88,28.0533248,290,4.102656366,2.347505137,5.49313249,SF,32.37464522,34220,1057,16,1986,2001,GSW,2,mullich01
120,Tim Hardaway,32.11815237,99,26.49979475,220,5.618357621,2.208551343,6.204346027,PG,35.40411701,32678,923,13,1990,2003,MIA,5,hardati01
121,Detlef Schrempf,32.07596951,86,28.49982592,310,3.576143591,2.137866556,5.447899567,SF,29.548,36935,1250,16,1986,2001,SEA,4,schrede01
122,Rashard Lewis,31.94526693,113,22.90894635,140,9.036320577,1.94142918,4.667113899,SF,31.84763573,36370,1142,16,1999,2014,SEA,4,lewisra02
123,Lamar Odom,31.66166524,126,21.94127918,127,9.720386055,1.921255593,4.458078364,PF,33.42376052,35730,1069,14,2000,2013,LAL,4,odomla01
124,Marc Gasol,31.49686267,123,22.00041115,132,9.496451517,3.437761738,5.929532877,C,34.19863014,19972,584,8,2009,2016,MEM,1,gasolma01
125,Dan Majerle,31.06828399,141,19.43333848,107,11.63494551,2.091202993,3.948791362,SG,31.95269017,34445,1078,14,1989,2002,PHO,3,majerda01
126,Alvan Adams,30.8475667,110,23.2425545,159,7.605012194,2.376646708,4.26186512,C,27.66510319,29491,1066,13,1976,1988,PHO,1,adamsal01
127,Marcus Camby,30.79480235,104,24.18495207,190,6.609850281,2.236353987,5.91205172,C,29.40019011,30929,1052,17,1997,2013,DEN,6,cambyma01
128,Baron Davis,30.50864837,133,20.30257309,123,10.20607528,2.083559583,4.301926235,PG,34.39887006,30443,885,13,2000,2012,CHH,6,davisba01
129,Alonzo Mourning,29.86749223,103,24.33799892,225,5.529493316,2.283147608,5.900737869,C,30.62379421,28572,933,15,1993,2008,MIA,3,mournal01
130,Andre Iguodala,29.60895267,106,23.91292071,219,5.696031967,2.461991561,4.175067736,SF,35.95865071,33046,919,12,2005,2016,PHI,3,iguodan01
131,Tom Heinsohn,29.55815143,238,11.85555238,64,17.70259905,2.144556233,3.627843018,PF,29.6530343,22477,758,9,1957,1965,BOS,1,heinsto01
132,Alex English,29.47937567,118,22.36052993,175,7.118845748,1.690640281,4.536592886,SF,32.10943695,40490,1261,15,1977,1991,DEN,4,englial01
133,Chris Bosh,29.38213348,125,21.99320085,164,7.388932626,2.219359249,3.813617537,C,35.79383634,33682,941,13,2004,2016,MIA,2,boshch01
134,Tyson Chandler,29.23381328,127,21.92022702,168,7.31358626,2.133257025,4.682739315,C,28.76190476,28992,1008,15,2002,2016,CHI,7,chandty01
135,Anthony Mason,28.9267819,114,22.796827,204,6.129954899,2.111274359,5.120737857,PF,34.45501022,33697,978,13,1990,2003,NYK,6,masonan01
136,Jason Terry,28.90253479,142,19.38782508,131,9.514709703,1.396517242,4.832703228,SG,31.87340824,42551,1335,17,2000,2016,DAL,5,terryja01
137,Harry Gallatin,28.72224735,108,23.64013618,244,5.08211117,3.376069455,6.195166381,PF,31.7834275,16877,531,7,1952,1958,NYK,2,gallaha01
138,Tony Parker,28.39656911,151,18.74001932,129,9.656549796,1.521120789,3.620840773,PG,32.85620915,40216,1224,15,2002,2016,SAS,1,parketo01
139,Kawhi Leonard,27.55607525,226,12.61310719,77,14.94296806,4.414038735,6.976960178,SF,29.94224924,9851,329,5,2012,2016,SAS,1,leonaka01
140,Blake Griffin,27.31408393,124,21.99916605,232,5.314917885,4.015958246,5.25805956,PF,35.52777778,15348,432,6,2011,2016,LAC,1,griffbl01
141,Joakim Noah,27.0850315,122,22.06174744,247,5.023284059,3.487044761,6.178751713,C,30.19543974,18540,614,9,2008,2016,CHI,1,noahjo01
142,Charles Oakley,26.47287734,172,17.12735881,136,9.345518532,1.203546752,4.548761744,PF,31.82889201,45388,1426,19,1986,2004,NYK,5,oaklech01
