"Rank","player","Hall_Rating","Avg_BPM","Best_Season","Position","MPG","Minutes","Games","Seasons","Rookie_Yr","Final_Yr","Teams","player_id"
118,"Tim Hardaway",33.6132030284737,2.21942170460913,6.20015249458114,"PG",35.4041170097508,32678,923,13,1990,2003,5,"hardati01"
119,"Chris Mullin",33.3827768407979,2.36494319760592,5.5270694707469,"SF",32.3746452223273,34220,1057,16,1986,2001,2,"mullich01"
120,"Marc Gasol",33.3191728013575,3.43889164906483,5.92634660572139,"C",34.1986301369863,19972,584,8,2009,2016,1,"gasolma01"
121,"Detlef Schrempf",32.716261930892,2.13676585682026,5.44446538646774,"SF",29.548,36935,1250,16,1986,2001,4,"schrede01"
122,"Bobby Wanzer",32.4661846923538,2.92505730720794,6.77323193815259,"SG",32.8337595907928,12838,391,6,1952,1957,1,"wanzebo01"
123,"Rashard Lewis",31.6335717442936,1.94213620443441,3.87748313185729,"SF",31.8476357267951,36370,1142,16,1999,2014,4,"lewisra02"
124,"Dan Majerle",31.5431871268868,2.09823039331103,3.94480550914783,"SG",31.9526901669759,34445,1078,14,1989,2002,3,"majerda01"
125,"Tom Heinsohn",31.2271026901689,2.14151174843429,4.14244775075266,"PF",29.6530343007916,22477,758,9,1957,1965,1,"heinsto01"
126,"Alvan Adams",31.1905515422561,2.37537366564274,4.2594518033905,"C",27.6651031894934,29491,1066,13,1976,1988,1,"adamsal01"
127,"Alex English",30.9300624379401,1.6889569800227,4.53315046099161,"SF",32.1094369547978,40490,1261,15,1977,1991,4,"englial01"
128,"Anthony Mason",30.3129966161344,2.14444191061111,5.37731755426658,"PF",34.4550102249489,33697,978,13,1990,2003,6,"masonan01"
129,"Marcus Camby",29.899591166188,2.23483404001504,4.72847294507878,"C",29.4001901140684,30929,1052,17,1997,2013,6,"cambyma01"
130,"Andre Iguodala",29.6378401471539,2.46364596457412,4.17096714399362,"SF",35.9586507072905,33046,919,12,2005,2016,3,"iguodan01"
131,"Alonzo Mourning",29.6004502465338,2.28294319130369,5.50338230976241,"C",30.6237942122186,28572,933,15,1993,2008,3,"mournal01"
132,"Blake Griffin",29.1591798661559,4.01371252607757,5.254624545833,"PF",35.5277777777778,15348,432,6,2011,2016,1,"griffbl01"
133,"Lamar Odom",29.097399554226,1.92294373552613,3.69286023196972,"PF",33.4237605238541,35730,1069,14,2000,2013,4,"odomla01"
134,"Lou Hudson",28.9852851855914,1.7524024992618,4.28037545404595,"SF",33.6414300736067,31993,951,13,1967,1979,3,"hudsolo01"
135,"Billy Cunningham",28.8914910536686,2.42952271715752,4.74368136733435,"SF",34.7014563106796,28594,824,11,1966,1976,2,"cunnibi01"
136,"Tyson Chandler",28.8031772382244,2.13172227199472,3.86668508265461,"C",28.7619047619048,28992,1008,15,2002,2016,7,"chandty01"
137,"Spencer Haywood",28.3447972229248,1.50706279545151,9.76342679760435,"PF",34.7199100112486,30866,889,13,1970,1983,6,"haywosp01"
138,"Joakim Noah",28.2125602161811,3.48655247955562,6.17553543708444,"C",30.1954397394137,18540,614,9,2008,2016,1,"noahjo01"
139,"Chris Bosh",28.0047898213327,2.21717531800631,3.81068219524252,"C",35.7938363443146,33682,941,13,2004,2016,2,"boshch01"
140,"Jason Terry",27.9681723320459,1.39480566677866,3.91579302649709,"SG",31.8734082397004,42551,1335,17,2000,2016,5,"terryja01"
141,"Deron Williams",27.553134072611,1.98512562420962,3.92066375857112,"PG",35.3370927318296,28199,798,11,2006,2016,4,"willide01"
142,"Tony Parker",27.4392789409355,1.51932504400496,2.79255901522796,"PG",32.8562091503268,40216,1224,15,2002,2016,1,"parketo01"
143,"Larry Jones",27.3229376070166,2.53214624804016,7.0330177201294,"SG",34.419795221843,20170,586,8,1965,1974,5,"jonesla01"
144,"Nate Thurmond",27.2315937502358,1.52217439768326,4.33728132349702,"C",37.0870813397129,38756,1045,14,1964,1977,4,"thurmna01"
145,"Charles Oakley",27.1633743491359,1.20234743158744,4.03534654351304,"PF",31.8288920056101,45388,1426,19,1986,2004,5,"oaklech01"
146,"Lenny Wilkens",27.0302457445495,1.68075948092348,3.83011647908955,"PG",35.4662576687117,40467,1141,15,1961,1975,4,"wilkele01"
147,"Peja Stojakovic",26.5687047568616,1.89462544551567,5.43236515289103,"SF",33.4505005561735,30072,899,13,1999,2011,6,"stojape01"
148,"Steve Smith",26.5080583471,1.72863546838987,3.86369945362333,"SG",30.7722868217054,31757,1032,14,1992,2005,6,"smithst01"
149,"Fat Lever",26.3923473287333,2.4268440910759,5.72161664189861,"PG",31.56875,25255,800,11,1983,1994,3,"leverfa01"
150,"Willie Wise",25.9196542967022,1.88221110014892,4.73785553954308,"SF",33.7635782747604,21136,626,9,1970,1978,5,"wisewi01"
151,"Brad Daugherty",25.706035335662,2.80432076890888,6.0272784669481,"C",36.7215619694397,21629,589,8,1987,1994,1,"daughbr01"
